stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1441,1441,Dr. Tomàs Sala (parell) - Sant Vicent Màrtir,,4369573.572,724831.371,,,0,
1442,1442,Dr. Tomàs Sala (imparell) - Sant Vicent Màrtir,,4369632.146,724825.281,,,0,
1443,1443,Dr. Tomàs Sala - Carters,,4369706.532,724540.756,,,0,
1444,1444,Dr. Tomàs Sala - Jerónima Galés,,4369855.303,724285.918,,,0,
1448,1448,Camp de Túria - Mestre Rodrigo,,4374706.525,723013.523,,,0,
145,145,Dr. Manuel Candela (parell) - Blasco Ibáñez,,4372604.421,728111.571,,,0,
1461,1461,França - Albereda,,4371333.936,727418.571,,,0,
1462,1462,Albereda - Pont del Regne,,4371268.451,727403.124,,,0,
1463,1463,Malilla (imparell) - Illa Formentera,,4369646.834,725463.585,,,0,
1464,1464,Malilla (imparell) - Illa Cabrera,,4369922.751,725504.472,,,0,
1465,1465,Malilla (imparell) - Bernat Descoll,,4370101.119,725538.508,,,0,
1472,1472,Pius IX - Salvador Perles,,4369206.408,724282.445,,,0,
1473,1473,Pius IX - Cabanilles,,4369421.9,724340.255,,,0,
1474,1474,Accés Cementeri,,4369481.151,723999.393,,,0,
1475,1475,Tanatori Municipal,,4369164.052,723920.317,,,0,
1485,1485,Palmaret - Rosa dels Vents (davant),,4377331.01,725105.724,,,0,
1489,1489,Tarongers - Facultat de Magisteri,,4373416.427,728163.433,,,0,
1490,1490,Tarongers - Junt Entrada Universitats,,4373495.072,728134.243,,,0,
1492,1492,Albalat dels Tarongers - Vinalopó,,4373216.113,728130.624,,,0,
1499,1499,Aiora,,4372090.571,728564.278,,,0,
150,150,Cardenal Benlloch (parell) - Port,,4371997.571,727441.576,,,0,
1500,1500,Sants Just i Pastor - Escultor Esteve Edo,,4371972.504,728909.542,,,0,
1501,1501,Sants Just i Pastor - Serradora,,4371911.969,729087.341,,,0,
1503,1503,Aiora,,4372111.263,728595.418,,,0,
1515,1515,Sants Just i Pastor - Jose Maria Haro,,4372028.976,728843.052,,,0,
1518,1518,la Malva-rosa - Fuerteventura,,4373575.47,729801.703,,,0,
1520,1520,Estació del Nord - Guillem de Castro,,4372046.533,725357.913,,,0,
153,153,Cardenal Benlloch - Dr. Vicente Pallarés,,4372743.53,727699.282,,,0,
1532,1532,Menorca - França,,4371078.375,728553.238,,,0,
1533,1533,França - Higinio Noja,,4371108.35,728313.345,,,0,
1534,1534,França-Vicente Beltrán,,4371187.466,727982.361,,,0,
1535,1535,França-Pare Tomas Montañana,,4371237.414,727781.288,,,0,
1536,1536,Parc Gulliver,,4371507.768,727256.569,,,0,
1537,1537,Parc Gulliver,,4371508.918,727223.75,,,0,
1538,1538,França-Albereda,,4371177.773,727805.843,,,0,
1539,1539,França-Pintor Maella,,4371104.149,728093.007,,,0,
154,154,Blasco Ibáñez - Rubén Darío,,4372933.485,727602.272,,,0,
1540,1540,França-Trafalgar,,4371034.887,728373.653,,,0,
1541,1541,Menorca - Balears,,4371088.549,728613.425,,,0,
1546,1546,La Malva-rosa - Gran Canària,,4373840.115,729737.324,,,0,
1547,1547,Uruguai - Crta. Escrivà,,4370861.925,724834.477,,,0,
155,155,Blasco Ibáñez - Almela i Vives,,4373037.161,727413.142,,,0,
1550,1550,Hospital València al Mar,,4373143.294,729675.469,,,0,
1551,1551,La Cadena - Pare Antón Martí,,4372944.112,729741.548,,,0,
1552,1552,Marí Blas de Lezo - Felip Gauna,,4372577.976,729326.551,,,0,
1562,1562,Palmaret - Rosa dels Vents,,4377338.497,725107.705,,,0,
1566,1566,Beniferri,,4374467.803,723588.634,,,0,
157,157,Blasco Ibáñez - Gascó Oliag,,4373081.1,727287.042,,,0,
1574,1574,Túria,,4372981.233,724529.179,,,0,
158,158,Facultat de Psicologia,,4373157.96,727067.446,,,0,
1584,1584,Joaquím Ballester - Pare Ferrís,,4373819.579,724764.758,,,0,
1585,1585,Natzaret,,4369832.895,729600.016,,,0,
1587,1587,Marina de València,,4371649.93,729744.452,,,0,
1589,1589,Drassanes del Grau,,4371274.673,729476.518,,,0,
1590,1590,Joan Verdeguer - Port,,4371129.247,729384.922,,,0,
1591,1591,Les Naus,,4371079.83,729189.983,,,0,
1592,1592,Joan Verdeguer - Isaac Peral,,4371098.877,728911.861,,,0,
1593,1593,Eivissa - Prof.Vicente Llorens,,4371320.025,728886.9,,,0,
1594,1594,Illes Canàries - Noguera,,4371401.893,728702.976,,,0,
1595,1595,Illes Canàries - Trafalgar,,4371535.8,728443.652,,,0,
1596,1596,Illes Canàries - Vicente Beltrán,,4371645.394,728195.52,,,0,
1597,1597,Illes Canàries - Lebon,,4371736.08,727934.652,,,0,
1598,1598,Illes Canàries - Riu Escalona,,4371824.471,727677.808,,,0,
1599,1599,Illes Canàries - Eduard Boscà,,4371873.632,727431.626,,,0,
16,16,Cavite - Vicent la Roda,,4373358.676,729935.661,,,0,
160,160,Hospital Clínic,,4373252.579,726803.847,,,0,
1602,1602,Serradora - Peanya,,4371518.855,729050.253,,,0,
1613,1613,Comissaria Policia - Marítim,,4371554.699,729838.922,,,0,
1615,1615,Port - Saragossa,,4372034.325,727104.395,,,0,
1616,1616,Port - Eduard Boscà,,4371912.95,727454.193,,,0,
1617,1617,Port - Riu Escalona,,4371811.56,727742.725,,,0,
1618,1618,Port -Tomàs Montañana,,4371756.551,727900.778,,,0,
1619,1619,Port - Cases Carbonell,,4371672.408,728143.423,,,0,
162,162,Blasco Ibáñez - Jaume Roig,,4373320.289,726592.146,,,0,
1621,1621,Port - Noguera,,4371479.846,728685.611,,,0,
1622,1622,Port - Eivissa,,4371406.769,728915.025,,,0,
1623,1623,Port - Pare Porta,,4371299.313,729209.129,,,0,
1624,1624,Port - Joan Josep Sister,,4371219.033,729433.513,,,0,
1627,1627,Dr. Lluch - Setmana Santa Marinera,,4371646.591,729807.291,,,0,
163,163,Jardí de Monforte,,4373220.26,726576.39,,,0,
1630,1630,Menorca - Eivissa,,4371249.071,728802.057,,,0,
1631,1631,Port - Illes Canàries,,4371377.217,729004.743,,,0,
164,164,Blasco Ibáñez - Rectorat,,4373255.895,726630.069,,,0,
1646,1646,la Plata - Músic Òscar Esplá,,4370788.223,726904.768,,,0,
165,165,Blasco Ibáñez (parell) - Ciutat Universitària,,4373140.224,726804.154,,,0,
1651,1651,Hernández Lázaro - Centre  Comercial,,4372906.896,723348.226,,,0,
1652,1652,Hernández Lázaro - Vall de la Ballestera,,4373145.568,723352.366,,,0,
1653,1653,Mestre Rodrigo - General Avilés,,4373685.638,723452.241,,,0,
1654,1654,Mestre Rodrigo - la Safor,,4374050.21,723240.413,,,0,
1655,1655,Mestre Rodrigo - La Plana Baixa,,4374292.739,723095.401,,,0,
1657,1657,Nou Campanar - Hospital Arnau de Vilanova,,4374382.557,723221.957,,,0,
1658,1658,la Safor - Mestre Rodrigo,,4374180.429,723216.947,,,0,
1659,1659,Mestre Rodrigo (Imparell) - la Safor,,4374033.788,723207.867,,,0,
166,166,Facultats,,4373089.431,726950.807,,,0,
1660,1660,Mestre Rodrigo (Imparell) - General Avilés,,4373677.449,723422.421,,,0,
1661,1661,Bioparc,,4372863.141,723068.698,,,0,
1662,1662,Vall de la Ballestera - Pío Baroja,,4373115.236,723276.476,,,0,
1663,1663,Alcalde Reig - Pont del Regne,,4371352.469,727112.977,,,0,
1664,1664,Antiga Facultat Magisteri,,4371335.083,727088.402,,,0,
1665,1665,Alcalde Reig (imparell) - Pere Aleixandre,,4371140.063,727241.108,,,0,
167,167,Facultat de Filologia,,4373023.226,727143.933,,,0,
1670,1670,Reina - Remonta,,4372819.988,729845.414,,,0,
1671,1671,Reina - Espadan,,4372520.513,729822.084,,,0,
1672,1672,Reina - Pescadors,,4372326.628,729805.707,,,0,
1673,1673,Reina - Vicent Gallart,,4371853.183,729767.766,,,0,
1675,1675,Sueca - Puerto Rico,,4371264.136,725842.697,,,0,
1676,1676,Sueca - G.V. Germanies,,4371480.809,725712.637,,,0,
1677,1677,Cardenal Benlloch -La  Pobla de Farnals,,4372268.684,727535.025,,,0,
1678,1678,Cardenal Benlloch - Sants Just i Pastor,,4372515.349,727618.378,,,0,
1679,1679,Primat Reig - Cuenca Tramoyeres,,4373624.657,727016.936,,,0,
168,168,Blasco Ibáñez - Suècia,,4372953.893,727341.787,,,0,
1680,1680,Primat Reig - Viver,,4374033.685,726560.573,,,0,
1681,1681,Primat Reig - Motilla del Palancar,,4374320.895,726241.335,,,0,
1682,1682,Primat Reig - Constitució,,4374654.679,725875.193,,,0,
1683,1683,Dr. Peset Aleixandre - Montcada,,4374534.696,725341.036,,,0,
1684,1684,Dr. Peset Aleixandre - Av. de Burjassot,,4374292.156,724578.785,,,0,
1685,1685,Campanar - Conchita Piquer,,4373958.012,724384.545,,,0,
1686,1686,Pérez Galdós - Tres Forques,,4371591.176,724659.143,,,0,
1687,1687,Giorgeta - Carcaixent,,4371140.60625,724938.59975,,,0,
1688,1688,Peris i Valero - Escultor Josep Capuz,,4371380.916,726849.919,,,0,
